source_file,family_id,seed,method,alpha,binary_weight,shuffle_family_labels,score_mode,auc_as_reported,positive_score_mean,negative_score_mean,score_gap_pos_minus_neg,heldout_positive_count,negative_count,scoring_matches_label_direction,auc_seen_family_direction,test_negatives_excluded_from_training,centroids_built_from_test_negative_families,is_posthoc
P1_alpha_ablation,ggbet,46,A3_only_supcon,1.0,0.0,False,metric,0.0,0.6774863004684448,0.9695662260055542,-0.2920799255371094,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,42,A4_shuffled_family,0.5,1.0,True,metric,0.66,0.9996458888053894,0.999264121055603,0.0003817677497863,10,10,False,0.33999999999999997,False,True,True
P1_alpha_ablation,ggbet,43,A4_shuffled_family,0.5,1.0,True,metric,0.0899999999999999,0.9551154375076294,0.9820818901062012,-0.0269664525985717,10,10,False,0.9100000000000001,False,True,True
P1_alpha_ablation,ggbet,44,A4_shuffled_family,0.5,1.0,True,metric,0.2,0.9550899267196656,0.9927929639816284,-0.0377030372619628,10,10,False,0.8,False,True,True
P1_alpha_ablation,ggbet,45,A4_shuffled_family,0.5,1.0,True,metric,0.1599999999999999,0.960895538330078,0.982633411884308,-0.0217378735542297,10,10,False,0.8400000000000001,False,True,True
P1_alpha_ablation,ggbet,46,A4_shuffled_family,0.5,1.0,True,metric,0.43,0.97665536403656,0.9807422757148744,-0.0040869116783142,10,10,False,0.5700000000000001,False,True,True
P1_alpha_ablation,tsars,42,A1_only_binary,0.0,1.0,False,binary,0.2222222222222222,0.718684196472168,0.8409051895141602,-0.1222209930419921,9,9,True,0.2222222222222222,False,False,True
P1_alpha_ablation,tsars,43,A1_only_binary,0.0,1.0,False,binary,0.419753086419753,0.8858504891395569,0.9141404032707214,-0.0282899141311645,9,9,True,0.419753086419753,False,False,True
P1_alpha_ablation,tsars,44,A1_only_binary,0.0,1.0,False,binary,0.4444444444444444,0.9186148047447203,0.8993685245513916,0.0192462801933288,9,9,True,0.4444444444444444,False,False,True
P1_alpha_ablation,tsars,45,A1_only_binary,0.0,1.0,False,binary,0.7407407407407409,0.8275031447410583,0.767603874206543,0.0598992705345153,9,9,True,0.7407407407407409,False,False,True
P1_alpha_ablation,tsars,46,A1_only_binary,0.0,1.0,False,binary,0.6049382716049383,0.9450081586837769,0.9410172700881958,0.003990888595581,9,9,True,0.6049382716049383,False,False,True
P1_alpha_ablation,tsars,42,A2_main,0.5,1.0,False,metric,0.2222222222222222,0.9561785459518432,0.9710485935211182,-0.0148700475692749,9,9,False,0.7777777777777778,False,True,True
P1_alpha_ablation,tsars,43,A2_main,0.5,1.0,False,metric,0.1481481481481481,0.814685583114624,0.9285560250282288,-0.1138704419136047,9,9,False,0.8518518518518519,False,True,True
P1_alpha_ablation,tsars,44,A2_main,0.5,1.0,False,metric,0.0,0.7630311846733093,0.9636990427970886,-0.2006678581237793,9,9,False,1.0,False,True,True
P1_alpha_ablation,tsars,45,A2_main,0.5,1.0,False,metric,0.0,0.6747146248817444,0.9413777589797974,-0.266663134098053,9,9,False,1.0,False,True,True
P1_alpha_ablation,tsars,46,A2_main,0.5,1.0,False,metric,0.0,0.795136034488678,0.9625815153121948,-0.1674454808235168,9,9,False,1.0,False,True,True
P1_alpha_ablation,tsars,42,A3_only_supcon,1.0,0.0,False,metric,0.3209876543209876,0.953949511051178,0.9765129089355468,-0.0225633978843688,9,9,False,0.6790123456790125,False,True,True
P1_alpha_ablation,tsars,43,A3_only_supcon,1.0,0.0,False,metric,0.0123456790123456,0.704239010810852,0.9447553157806396,-0.2405163049697876,9,9,False,0.9876543209876544,False,True,True
P1_alpha_ablation,tsars,44,A3_only_supcon,1.0,0.0,False,metric,0.0864197530864197,0.7687222957611084,0.9332876205444336,-0.1645653247833252,9,9,False,0.9135802469135803,False,True,True
P1_alpha_ablation,tsars,45,A3_only_supcon,1.0,0.0,False,metric,0.0246913580246913,0.7150872349739075,0.9488403797149658,-0.2337531447410583,9,9,False,0.9753086419753088,False,True,True
P1_alpha_ablation,tsars,46,A3_only_supcon,1.0,0.0,False,metric,0.0,0.7020165920257568,0.961857259273529,-0.2598406672477722,9,9,False,1.0,False,True,True
P1_alpha_ablation,tsars,42,A4_shuffled_family,0.5,1.0,True,metric,0.2839506172839506,0.9964276552200316,0.9987276792526244,-0.0023000240325927,9,9,False,0.7160493827160495,False,True,True
P1_alpha_ablation,tsars,43,A4_shuffled_family,0.5,1.0,True,metric,0.3333333333333333,0.954967200756073,0.9789488911628724,-0.0239816904067993,9,9,False,0.6666666666666667,False,True,True
P1_alpha_ablation,tsars,44,A4_shuffled_family,0.5,1.0,True,metric,0.419753086419753,0.9805237650871276,0.9843482971191406,-0.0038245320320129,9,9,False,0.580246913580247,False,True,True
P1_alpha_ablation,tsars,45,A4_shuffled_family,0.5,1.0,True,metric,0.3950617283950617,0.9811130166053772,0.9806097745895386,0.0005032420158386,9,9,False,0.6049382716049383,False,True,True
P1_alpha_ablation,tsars,46,A4_shuffled_family,0.5,1.0,True,metric,0.0740740740740741,0.791492223739624,0.9315049648284912,-0.1400127410888672,9,9,False,0.9259259259259259,False,True,True
