config_id,transfer_id,seed,audit_type,domain_role,num_overlapping_groups,num_rows,num_groups,is_posthoc
C2_no_cctld,T2_ON,46,group_overlap,source,0,325,307,True
C2_no_cctld,T2_ON,46,group_overlap,target,0,58,58,True
C3_no_website_lexical,T2_ON,46,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_ON,46,group_overlap,target,0,58,58,True
C4_graph_only,T2_ON,46,group_overlap,source,0,325,307,True
C4_graph_only,T2_ON,46,group_overlap,target,0,58,58,True
C5_lex_only,T2_ON,46,group_overlap,source,0,325,307,True
C5_lex_only,T2_ON,46,group_overlap,target,0,58,58,True
C6_no_edges,T2_ON,46,group_overlap,source,0,325,307,True
C6_no_edges,T2_ON,46,group_overlap,target,0,58,58,True
C7_no_cert_edge,T2_ON,46,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_ON,46,group_overlap,target,0,58,58,True
C8_no_registrar_edge,T2_ON,46,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_ON,46,group_overlap,target,0,58,58,True
C9_infra_edges_only,T2_ON,46,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_ON,46,group_overlap,target,0,58,58,True
C1_full,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C1_full,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
C2_no_cctld,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C2_no_cctld,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
C3_no_website_lexical,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C3_no_website_lexical,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
C4_graph_only,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C4_graph_only,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
C5_lex_only,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C5_lex_only,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
C6_no_edges,T3_DiagnoseFrance,42,group_overlap,source,0,73,73,True
C6_no_edges,T3_DiagnoseFrance,42,group_overlap,target,0,72,63,True
