seed,family_a,family_b,cosine_similarity,cosine_distance,is_prerun_frozen
43,bcgame,verdecasino,0.988355278968811,0.011644721031188965,True
43,freshbet,ggbet,0.9956499934196472,0.004350006580352783,True
43,freshbet,icecasino,0.9920949339866638,0.007905066013336182,True
43,freshbet,tsars,0.9907010793685913,0.009298920631408691,True
43,freshbet,verdecasino,0.9904601573944092,0.00953984260559082,True
43,ggbet,icecasino,0.9962595105171204,0.0037404894828796387,True
43,ggbet,tsars,0.996120274066925,0.003879725933074951,True
43,ggbet,verdecasino,0.9911829829216003,0.008817017078399658,True
43,icecasino,tsars,0.9983685612678528,0.0016314387321472168,True
43,icecasino,verdecasino,0.99791419506073,0.0020858049392700195,True
43,tsars,verdecasino,0.9949508905410767,0.00504910945892334,True
44,bcdot,bcgame,0.9987332820892334,0.0012667179107666016,True
44,bcdot,freshbet,0.9979559779167175,0.0020440220832824707,True
44,bcdot,ggbet,0.9943757653236389,0.005624234676361084,True
44,bcdot,icecasino,0.9922080039978027,0.007791996002197266,True
44,bcdot,tsars,0.9888898134231567,0.011110186576843262,True
44,bcdot,verdecasino,0.993090033531189,0.006909966468811035,True
44,bcgame,freshbet,0.998170793056488,0.0018292069435119629,True
44,bcgame,ggbet,0.9938522577285767,0.00614774227142334,True
44,bcgame,icecasino,0.992387592792511,0.007612407207489014,True
44,bcgame,tsars,0.9891127347946167,0.0108872652053833,True
44,bcgame,verdecasino,0.9936912655830383,0.00630873441696167,True
44,freshbet,ggbet,0.995330810546875,0.004669189453125,True
44,freshbet,icecasino,0.9936234354972839,0.0063765645027160645,True
44,freshbet,tsars,0.9901444315910339,0.009855568408966064,True
44,freshbet,verdecasino,0.994661808013916,0.005338191986083984,True
44,ggbet,icecasino,0.998096764087677,0.001903235912322998,True
44,ggbet,tsars,0.996246337890625,0.003753662109375,True
44,ggbet,verdecasino,0.9957540035247803,0.0042459964752197266,True
44,icecasino,tsars,0.9987897872924805,0.0012102127075195312,True
44,icecasino,verdecasino,0.9986218214035034,0.001378178596496582,True
44,tsars,verdecasino,0.9974516034126282,0.002548396587371826,True
45,bcdot,bcgame,0.9964346289634705,0.003565371036529541,True
45,bcdot,freshbet,0.9943945407867432,0.005605459213256836,True
45,bcdot,ggbet,0.9783430099487305,0.02165699005126953,True
45,bcdot,icecasino,0.9623721837997437,0.03762781620025635,True
45,bcdot,tsars,0.9564061164855957,0.0435938835144043,True
45,bcdot,verdecasino,0.9650151133537292,0.03498488664627075,True
45,bcgame,freshbet,0.9902995824813843,0.009700417518615723,True
45,bcgame,ggbet,0.9696977734565735,0.030302226543426514,True
45,bcgame,icecasino,0.954473614692688,0.04552638530731201,True
45,bcgame,tsars,0.9546573162078857,0.04534268379211426,True
45,bcgame,verdecasino,0.9588192701339722,0.04118072986602783,True
45,freshbet,ggbet,0.9774274230003357,0.022572576999664307,True
45,freshbet,icecasino,0.9668078422546387,0.03319215774536133,True
45,freshbet,tsars,0.9557399749755859,0.04426002502441406,True
45,freshbet,verdecasino,0.9719017744064331,0.028098225593566895,True
45,ggbet,icecasino,0.9924732446670532,0.007526755332946777,True
45,ggbet,tsars,0.9817654490470886,0.018234550952911377,True
45,ggbet,verdecasino,0.9871671199798584,0.012832880020141602,True
45,icecasino,tsars,0.9896280765533447,0.010371923446655273,True
45,icecasino,verdecasino,0.997427761554718,0.0025722384452819824,True
45,tsars,verdecasino,0.9885890483856201,0.011410951614379883,True
46,bcdot,bcgame,0.9976679682731628,0.002332031726837158,True
46,bcdot,freshbet,0.9923093318939209,0.0076906681060791016,True
46,bcdot,ggbet,0.9908940196037292,0.009105980396270752,True
46,bcdot,icecasino,0.9835266470909119,0.016473352909088135,True
46,bcdot,tsars,0.9910011291503906,0.008998870849609375,True
46,bcdot,verdecasino,0.9782630205154419,0.021736979484558105,True
46,bcgame,freshbet,0.9951550364494324,0.004844963550567627,True
46,bcgame,ggbet,0.9901670217514038,0.009832978248596191,True
46,bcgame,icecasino,0.9818722009658813,0.018127799034118652,True
46,bcgame,tsars,0.9876079559326172,0.012392044067382812,True
46,bcgame,verdecasino,0.9789873361587524,0.02101266384124756,True
46,freshbet,ggbet,0.9913299083709717,0.00867009162902832,True
46,freshbet,icecasino,0.9830005168914795,0.016999483108520508,True
46,freshbet,tsars,0.9872440099716187,0.012755990028381348,True
