created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,config_id,feature_mode,edge_mode,encoder_checkpoint
2026-04-28T15:05:45.134986+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.22580645161290322,0.31437627686123915,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.22580645161290322,0.9993404746055603,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,12.885616302490234,E5_structure_vs_lexical,C2_no_cctld,no_cctld,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T15:05:58.468994+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.08639942897755461,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0,0.9999837875366211,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,13.003110885620117,E5_structure_vs_lexical,C3_no_lex,lexical_only,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T15:06:11.679162+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.0,0.0,,0.0,0.0,0.07072893196813207,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0,0.99986732006073,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,12.891581535339355,E5_structure_vs_lexical,C4_graph_only,zero_all,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T15:06:16.094763+00:00,T1_Nordic,source_only,46,100,77,80,20,31,0.9661076170510132,0.989010989010989,,,0.6774193548387096,0.40384615384615385,,0.6774193548387096,0.6774193548387096,0.4870202301010009,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.6774193548387096,0.10989817976951599,,,51,0.989010989010989,best_source_val,1,76,False,E5_structure_vs_lexical,4.137399435043335,E5_structure_vs_lexical,C5_lex_only,full,empty_all,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T15:06:24.442122+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9976941747572815,0.9791666666666666,0.7916666666666667,0.6825757575757576,0.7916666666666667,0.7846153846153847,0.75,0.8333333333333334,0.8333333333333334,0.40491100663176177,2,True,roc_auc,roc_auc,higher_is_better,0.7916666666666667,0.2993318736553192,,,103,0.9791666666666666,best_source_val,1,128,False,E5_structure_vs_lexical,7.949035167694092,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T15:06:31.271440+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9927791262135923,0.9660087719298246,0.7916666666666666,0.746067821067821,0.7708333333333333,0.7754010695187166,0.875,0.6666666666666666,0.6666666666666666,0.35394573268006624,2,True,roc_auc,roc_auc,higher_is_better,0.7916666666666666,0.32760530710220337,,,84,0.9660087719298246,best_source_val,1,109,False,E5_structure_vs_lexical,6.525070667266846,E5_structure_vs_lexical,C2_no_cctld,no_cctld,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T15:06:36.315227+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9429004854368932,0.9605263157894737,0.9791666666666666,0.976190476190476,0.9166666666666667,0.9251336898395721,1.0,0.8333333333333334,0.8333333333333334,0.36423961631953716,2,True,roc_auc,roc_auc,higher_is_better,0.9791666666666666,0.5036886930465698,,,53,0.9605263157894737,best_source_val,1,78,False,E5_structure_vs_lexical,4.664584636688232,E5_structure_vs_lexical,C3_no_lex,lexical_only,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T15:06:46.875452+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9655643203883495,0.9342105263157895,0.9375,0.9444444444444444,0.8541666666666667,0.8541666666666667,0.875,0.8333333333333334,0.8333333333333334,0.401394079770593,2,True,roc_auc,roc_auc,higher_is_better,0.9375,0.5088267922401428,,,145,0.9342105263157895,best_source_val,1,170,False,E5_structure_vs_lexical,10.24793028831482,E5_structure_vs_lexical,C4_graph_only,zero_all,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T15:06:57.902297+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9597087378640777,0.9725877192982456,0.5208333333333333,0.47883597883597884,0.625,0.5333333333333333,0.25,1.0,1.0,0.595649156519877,2,True,roc_auc,roc_auc,higher_is_better,0.5208333333333333,0.2070382535457611,,,190,0.9725877192982456,best_source_val,1,200,False,E5_structure_vs_lexical,10.727861166000366,E5_structure_vs_lexical,C5_lex_only,full,empty_all,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T15:07:08.430124+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9995683808114441,0.9333333333333333,0.7083333333333333,0.7160714285714285,0.6666666666666667,0.641025641025641,0.5,0.8333333333333334,0.8333333333333334,0.421050124001988,2,True,roc_auc,roc_auc,higher_is_better,0.7083333333333333,0.16830222308635712,,,144,0.9333333333333333,best_source_val,1,169,False,E5_structure_vs_lexical,10.099514484405518,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
