created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,edge_removed,edge_config,encoder_checkpoint
2026-04-28T14:45:02.383936+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9986023759608665,0.8791208791208791,,,0.3548387096774194,0.2619047619047619,,0.3548387096774194,0.3548387096774194,0.3453543775624806,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3548387096774194,0.3270905017852783,,,25,0.8791208791208791,best_source_val,1,50,False,E1_edge_ablation,2.8320939540863037,E1_edge_ablation,uses_ns,minus_uses_ns,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T14:45:05.560014+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9643605870020964,0.901098901098901,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.4384526514237927,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.4429515600204468,,,1,0.901098901098901,best_source_val,1,50,False,E1_edge_ablation,2.8652219772338867,E1_edge_ablation,registered_via,minus_registered_via,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T14:45:08.791232+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9706498951781971,0.901098901098901,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12903225806451613,0.43863779306411743,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.12903225806451613,0.4426642656326294,,,1,0.901098901098901,best_source_val,1,50,False,E1_edge_ablation,2.9113590717315674,E1_edge_ablation,referenced_by,minus_referenced_by,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T14:45:21.453879+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.2903225806451613,0.46505624471464907,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.2903225806451613,0.9998559951782227,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.347257375717163,E1_edge_ablation,none,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:45:34.103843+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.2903225806451613,0.3945911185531394,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.2903225806451613,0.9835857152938843,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.331982135772705,E1_edge_ablation,hosted_on,minus_hosted_on,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:45:38.647801+00:00,T1_Nordic,source_only,46,100,77,80,20,31,0.9853249475890985,1.0,,,0.6451612903225806,0.39215686274509803,,0.6451612903225806,0.6451612903225806,0.40375193276052035,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.6451612903225806,0.05702699348330498,,,50,1.0,best_source_val,1,75,False,E1_edge_ablation,4.239233016967773,E1_edge_ablation,uses_cert,minus_uses_cert,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:45:50.816740+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.17386786271392007,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.9976477026939392,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,11.898158073425293,E1_edge_ablation,uses_ns,minus_uses_ns,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:46:03.842703+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.3870967741935484,0.27906976744186046,,0.3870967741935484,0.3870967741935484,0.47632384896229085,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3870967741935484,0.9989184141159058,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.716706991195679,E1_edge_ablation,registered_via,minus_registered_via,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:46:16.437968+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.2903225806451613,0.4640860828622345,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.2903225806451613,0.9998559951782227,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.327096700668335,E1_edge_ablation,referenced_by,minus_referenced_by,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
2026-04-28T14:46:24.581199+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9976941747572815,0.9791666666666666,0.7916666666666667,0.6825757575757576,0.7916666666666667,0.7846153846153847,0.75,0.8333333333333334,0.8333333333333334,0.40491100663176177,2,True,roc_auc,roc_auc,higher_is_better,0.7916666666666667,0.2993318736553192,,,103,0.9791666666666666,best_source_val,1,128,False,E1_edge_ablation,7.837321519851685,E1_edge_ablation,none,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
