transfer_id,method,seed,metric,n_target_test,n_removed_overlap,n_isolated,primary_full,primary_isolated,delta,rerun_primary_reported,is_posthoc
T2_ON,dann,43,mean_pred_illegal,24,0,24,0.38546034675770596,0.38546034675770596,0.0,0.3854603467577059,True
T2_ON,dann,44,mean_pred_illegal,24,2,22,0.3603926283152153,0.35978865767405793,-0.0006039706411573587,0.3603926283152153,True
T2_ON,dann,45,mean_pred_illegal,24,3,21,0.31576235600126284,0.323750405971493,0.007988049970230171,0.3157623560012628,True
T2_ON,dann,46,mean_pred_illegal,24,2,22,0.35469712622261795,0.34152321342497255,-0.013173912797645404,0.3546971262226179,True
T2_ON,dann_strurw,42,mean_pred_illegal,24,3,21,0.005200023461005278,0.005763202368013584,0.0005631789070083063,0.0052000234610053,True
T2_ON,dann_strurw,43,mean_pred_illegal,24,0,24,0.0002160308661045097,0.0002160308661045097,0.0,0.0002160308661045,True
T2_ON,dann_strurw,44,mean_pred_illegal,24,2,22,0.00046976286096362275,0.00033667431449115303,-0.00013308854647246972,0.0004697628609636,True
T2_ON,dann_strurw,45,mean_pred_illegal,24,3,21,0.0860727091029923,0.05119043873869306,-0.034882270364299243,0.0860727091029922,True
T2_ON,dann_strurw,46,mean_pred_illegal,24,2,22,0.029388729880330162,0.03206043146061746,0.0026717015802872994,0.0293887298803301,True
T2_ON,source_only,42,mean_pred_illegal,24,3,21,0.30277217138952867,0.32095965860866094,0.01818748721913227,0.3027721713895286,True
T2_ON,source_only,43,mean_pred_illegal,24,0,24,0.3437696565912726,0.3437696565912726,0.0,0.3437696565912726,True
T2_ON,source_only,44,mean_pred_illegal,24,2,22,0.36281932587735355,0.36198407928036014,-0.0008352465969934109,0.3628193258773535,True
T2_ON,source_only,45,mean_pred_illegal,24,3,21,0.2889662125768761,0.29249165686113493,0.0035254442842588274,0.2889662125768761,True
T2_ON,source_only,46,mean_pred_illegal,24,2,22,0.21547108370267173,0.22257524197158834,0.0071041582689166105,0.2154710837026717,True
T2_ON,strurw,42,mean_pred_illegal,24,3,21,7.930586955731469e-05,8.127896782773476e-05,1.9730982704200704e-06,7.930586955732603e-05,True
T2_ON,strurw,43,mean_pred_illegal,24,0,24,0.0004934459114940104,0.0004934459114940104,0.0,0.000493445911494,True
T2_ON,strurw,44,mean_pred_illegal,24,2,22,0.0002806142234639487,0.0002973501590130962,1.673593554914752e-05,0.0002806142234639,True
T2_ON,strurw,45,mean_pred_illegal,24,3,21,0.00042316565739495144,0.00047261175005325025,4.944609265829881e-05,0.0004231656573949,True
T2_ON,strurw,46,mean_pred_illegal,24,2,22,5.709646578851119e-05,5.739630089445296e-05,2.998351059417675e-07,5.709646578851609e-05,True
T2_PH,dann,42,roc_auc,14,2,12,0.625,0.53125,-0.09375,0.625,True
T2_PH,dann,43,roc_auc,14,2,12,0.5416666666666667,0.48571428571428577,-0.055952380952380976,0.5416666666666667,True
T2_PH,dann,44,roc_auc,14,1,13,0.49999999999999994,0.5,5.551115123125783e-17,0.4999999999999999,True
T2_PH,dann,45,roc_auc,14,1,13,0.31250000000000006,0.325,0.012499999999999956,0.3125,True
