seed,heldout_family,arm,alpha,binary_weight,shuffle_family_labels,scoring,TB_unseen_family_detection_auc,TA_family_attribution_top1,TA_chance,n_heldout,n_probes,n_train,n_centroids,mean_sim_heldout,mean_sim_probe,probes_in_training,probes_in_centroids,encoder_checkpoint,is_posthoc
43,ggbet,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.6166666666666667,0.6666666666666666,0.16666666666666666,10,6,477,6,0.9845165014266968,0.9882047176361084,False,False,heco_encoder__tau0.7__seed43.pt,True
43,icecasino,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.6666666666666667,0.5,0.16666666666666666,6,6,481,6,1.0,1.0,False,False,heco_encoder__tau0.7__seed43.pt,True
43,icecasino,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.5277777777777778,0.6666666666666666,0.16666666666666666,6,6,481,6,0.8183295130729675,0.8067485690116882,False,False,heco_encoder__tau0.7__seed43.pt,True
43,icecasino,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.5,0.3333333333333333,0.16666666666666666,6,6,481,6,0.8184093832969666,0.7741910815238953,False,False,heco_encoder__tau0.7__seed43.pt,True
43,icecasino,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.888888888888889,0.6666666666666666,0.16666666666666666,6,6,481,6,0.9998119473457336,0.9999658465385437,False,False,heco_encoder__tau0.7__seed43.pt,True
43,tsars,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.5,0.5,0.16666666666666666,9,6,478,6,1.0,1.0,False,False,heco_encoder__tau0.7__seed43.pt,True
43,tsars,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.8148148148148149,0.5,0.16666666666666666,9,6,478,6,0.5195987224578857,0.7768145203590393,False,False,heco_encoder__tau0.7__seed43.pt,True
43,tsars,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.7962962962962964,0.3333333333333333,0.16666666666666666,9,6,478,6,0.5035761594772339,0.7358813881874084,False,False,heco_encoder__tau0.7__seed43.pt,True
43,tsars,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.7407407407407408,0.5,0.16666666666666666,9,6,478,6,0.9415178298950195,0.9760242104530334,False,False,heco_encoder__tau0.7__seed43.pt,True
43,verdecasino,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.3958333333333333,0.3333333333333333,0.16666666666666666,4,6,483,6,1.0000001192092896,1.0000001192092896,False,False,heco_encoder__tau0.7__seed43.pt,True
43,verdecasino,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.41666666666666663,0.5,0.16666666666666666,4,6,483,6,0.8357382416725159,0.7957467436790466,False,False,heco_encoder__tau0.7__seed43.pt,True
43,verdecasino,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.375,0.6666666666666666,0.16666666666666666,4,6,483,6,0.8339569568634033,0.6912004947662354,False,False,heco_encoder__tau0.7__seed43.pt,True
43,verdecasino,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.16666666666666669,0.5,0.16666666666666666,4,6,483,6,0.9973740577697754,0.9945788383483887,False,False,heco_encoder__tau0.7__seed43.pt,True
44,bcdot,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.5,0.3333333333333333,0.16666666666666666,4,6,483,6,1.0,1.0000001192092896,False,False,heco_encoder__tau0.7__seed44.pt,True
44,bcdot,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.33333333333333337,0.3333333333333333,0.16666666666666666,4,6,483,6,0.9253244400024414,0.8415718078613281,False,False,heco_encoder__tau0.7__seed44.pt,True
44,bcdot,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.29166666666666663,0.3333333333333333,0.16666666666666666,4,6,483,6,0.9077448844909668,0.8022620677947998,False,False,heco_encoder__tau0.7__seed44.pt,True
44,bcdot,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.125,0.16666666666666666,0.16666666666666666,4,6,483,6,0.9831326007843018,0.9396366477012634,False,False,heco_encoder__tau0.7__seed44.pt,True
