transfer_id,method,seed,primary_metric_value_new,primary_metric_value_old,abs_diff
T2_ON,dann_strurw,43,0.00021603086610451567,0.0002160308661045,1.566672139241554e-17
T2_ON,dann_strurw,44,0.0004697628609636369,0.0004697628609636,3.6917083973131426e-17
T2_ON,dann_strurw,45,0.08607270910299229,0.0860727091029922,9.71445146547012e-17
T2_ON,dann_strurw,46,0.02938872988033017,0.0293887298803301,6.938893903907228e-17
T2_ON,source_only,42,0.30277217138952867,0.3027721713895286,5.551115123125783e-17
T2_ON,source_only,43,0.3437696565912726,0.3437696565912726,0.0
T2_ON,source_only,44,0.36281932587735355,0.3628193258773535,5.551115123125783e-17
T2_ON,source_only,45,0.2889662125768761,0.2889662125768761,0.0
T2_ON,source_only,46,0.21547108370267173,0.2154710837026717,2.7755575615628914e-17
T2_ON,strurw,42,7.930586955732603e-05,7.930586955732603e-05,0.0
T2_ON,strurw,43,0.0004934459114940282,0.000493445911494,2.8189256484623115e-17
T2_ON,strurw,44,0.0002806142234639634,0.0002806142234639,6.342582709040201e-17
T2_ON,strurw,45,0.0004231656573949749,0.0004231656573949,7.491837011874836e-17
T2_ON,strurw,46,5.709646578851609e-05,5.709646578851609e-05,0.0
T2_PH,dann,42,0.625,0.625,0.0
T2_PH,dann,43,0.5416666666666667,0.5416666666666667,0.0
T2_PH,dann,44,0.49999999999999994,0.4999999999999999,5.551115123125783e-17
T2_PH,dann,45,0.31250000000000006,0.3125,5.551115123125783e-17
T2_PH,dann,46,0.7083333333333333,0.7083333333333333,0.0
T2_PH,dann_strurw,42,0.6666666666666667,0.6666666666666667,0.0
T2_PH,dann_strurw,43,0.625,0.625,0.0
T2_PH,dann_strurw,44,1.0,1.0,0.0
T2_PH,dann_strurw,45,0.5416666666666666,0.5416666666666666,0.0
T2_PH,dann_strurw,46,0.8958333333333333,0.8958333333333333,0.0
T2_PH,source_only,42,0.7916666666666667,0.7916666666666667,0.0
T2_PH,source_only,43,0.7083333333333333,0.7083333333333333,0.0
T2_PH,source_only,44,0.5416666666666666,0.5416666666666666,0.0
T2_PH,source_only,45,0.4583333333333333,0.4583333333333333,0.0
T2_PH,source_only,46,0.7083333333333333,0.7083333333333333,0.0
T2_PH,strurw,42,0.8125,0.8125,0.0
T2_PH,strurw,43,0.6041666666666667,0.6041666666666667,0.0
T2_PH,strurw,44,0.8125,0.8125,0.0
T2_PH,strurw,45,0.2708333333333333,0.2708333333333333,0.0
T2_PH,strurw,46,0.7291666666666666,0.7291666666666666,0.0
T3_DiagnoseFrance,dann,42,1.0,1.0,0.0
T3_DiagnoseFrance,dann,43,0.915,0.915,0.0
T3_DiagnoseFrance,dann,44,0.99,0.99,0.0
T3_DiagnoseFrance,dann,45,0.9691358024691358,0.9691358024691358,0.0
T3_DiagnoseFrance,dann,46,1.0,1.0,0.0
T3_DiagnoseFrance,dann_strurw,42,1.0,1.0,0.0
T3_DiagnoseFrance,dann_strurw,43,0.91,0.91,0.0
T3_DiagnoseFrance,dann_strurw,44,0.99,0.99,0.0
T3_DiagnoseFrance,dann_strurw,45,0.9753086419753086,0.9753086419753086,0.0
T3_DiagnoseFrance,dann_strurw,46,1.0,1.0,0.0
T3_DiagnoseFrance,source_only,42,1.0,1.0,0.0
T3_DiagnoseFrance,source_only,43,0.985,0.985,0.0
T3_DiagnoseFrance,source_only,44,0.995,0.995,0.0
T3_DiagnoseFrance,source_only,45,0.9506172839506173,0.9506172839506172,1.1102230246251565e-16
T3_DiagnoseFrance,source_only,46,1.0,1.0,0.0
T3_DiagnoseFrance,strurw,42,0.9947368421052631,0.9947368421052633,1.1102230246251565e-16
T3_DiagnoseFrance,strurw,43,0.98,0.98,0.0
T3_DiagnoseFrance,strurw,44,0.995,0.995,0.0
T3_DiagnoseFrance,strurw,45,0.9876543209876543,0.9876543209876544,1.1102230246251565e-16
T3_DiagnoseFrance,strurw,46,0.995,0.995,0.0
