created_at_utc,task,model,seed,best_epoch,best_val_score,trained_epochs,threshold,val_roc_auc,val_balanced_accuracy,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_macro_f1,test_licensed_consistency,test_illegal_consistency,test_mean_pred_illegal,runtime_s,experiment,permutation_id,reference_family,heldout_positive_count,encoder_checkpoint
2026-04-28T13:12:45.448949+00:00,E3_permutation,heco_disc_lr_finetune,42,196,1.0,200,0.889200747013092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0469224497870254,10.909281492233276,E3_permutation,26,freshbet,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:50.912225+00:00,E3_permutation,heco_disc_lr_finetune,42,75,0.9983739837398372,100,0.6960861682891846,0.9983739837398372,0.9878048780487804,1.0,1.0,0.9634146341463414,0.7667269439421338,0.926829268292683,1.0,0.1283293160037715,5.211132764816284,E3_permutation,27,bcgame,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:02.392223+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9861305356025696,1.0,1.0,1.0,1.0,0.95,0.9676601141407736,1.0,0.9,0.1938467759861255,11.224909782409668,E3_permutation,28,ggbet,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:13.748896+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.0311064925044775,1.0,1.0,1.0,1.0,0.9878048780487804,0.9675113710201428,0.975609756097561,1.0,0.177398023280876,11.076782941818236,E3_permutation,29,tsars,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:24.840607+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9919270277023317,1.0,1.0,0.975609756097561,0.8551587301587301,0.975609756097561,0.9160714285714284,0.951219512195122,1.0,0.171811183596854,10.837421178817747,E3_permutation,30,icecasino,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:36.053158+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9516414403915404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0913719719970321,10.945171356201172,E3_permutation,31,bcdot,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:40.423407+00:00,E3_permutation,heco_disc_lr_finetune,42,51,0.9983739837398372,76,0.8293840289115906,0.9983739837398372,0.9878048780487804,0.9761904761904764,0.8303571428571428,0.8392857142857143,0.775609756097561,0.9285714285714286,0.75,0.2200483277972809,4.10502552986145,E3_permutation,32,verdecasino,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:43.716359+00:00,E3_permutation,heco_disc_lr_finetune,42,33,1.0,58,0.5093600153923035,1.0,1.0,1.0,1.0,0.9878048780487804,0.8938271604938272,0.975609756097561,1.0,0.1018890861004039,3.029975652694702,E3_permutation,33,freshbet,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:13:54.945436+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9932371973991394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0742372389215571,10.980188131332396,E3_permutation,34,bcgame,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:14:05.922354+00:00,E3_permutation,heco_disc_lr_finetune,42,169,1.0,194,0.9960183501243592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2012718533731309,10.715673446655272,E3_permutation,35,ggbet,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:14:17.118859+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.5769011974334717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1773702883172498,10.932958364486694,E3_permutation,36,tsars,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:14:21.226928+00:00,E3_permutation,heco_disc_lr_finetune,42,48,0.989547038327526,73,0.7716895341873169,0.989547038327526,0.975609756097561,0.988095238095238,0.9444444444444444,0.9523809523809524,0.85,0.9047619047619048,1.0,0.2208217247742543,3.837078809738159,E3_permutation,37,icecasino,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
