created_at_utc,target_id,shot,actual_shot_per_class,seed,checkpoint_seed,feature_condition,source_only_auc,fewshot_auc,delta_auc,pr_auc,f1,balanced_accuracy,precision,recall,n_target_train,n_target_test,best_epoch,trained_epochs,threshold,encoder_checkpoint,training_mode,training_strategy,split_file,is_posthoc,runtime_s
2026-05-08T13:41:49.118326+00:00,T2_PH,3,3,2,44,graph-only,0.625,0.7708333333333333,0.14583333333333326,0.8361823361823362,0.8,0.8333333333333333,1.0,0.6666666666666666,6,14,200,200,0.3315443694591522,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k3__seed2_split.csv,True,14.464677333831787
2026-05-08T13:42:38.324514+00:00,T2_PH,3,3,3,45,graph-only,0.4375,0.9375,0.5,0.8817460317460317,0.8,0.8125,0.6666666666666666,1.0,6,14,143,168,0.16989624500274658,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k3__seed3_split.csv,True,11.813918590545654
2026-05-08T13:43:24.464590+00:00,T2_PH,3,3,4,46,graph-only,0.25,0.7708333333333334,0.5208333333333334,0.7878306878306879,0.6,0.6875,0.75,0.5,6,14,114,139,0.6746959686279297,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k3__seed4_split.csv,True,7.274872303009033
2026-05-08T13:40:25.195320+00:00,T2_PH,5,5,0,42,graph-only,0.9375,1.0,0.0625,1.0,1.0,1.0,1.0,1.0,10,14,192,200,0.5458601117134094,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k5__seed0_split.csv,True,14.347789764404297
2026-05-08T13:41:07.630025+00:00,T2_PH,5,5,1,43,graph-only,0.7395833333333334,0.8854166666666666,0.14583333333333326,0.7345238095238095,0.8333333333333334,0.8541666666666667,0.8333333333333334,0.8333333333333334,10,14,94,119,0.6012744903564453,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k5__seed1_split.csv,True,9.495681524276733
2026-05-08T13:41:58.504964+00:00,T2_PH,5,5,2,44,graph-only,0.625,0.8125,0.1875,0.8501683501683501,0.8,0.8333333333333333,1.0,0.6666666666666666,10,14,103,128,0.1961572766304016,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k5__seed2_split.csv,True,9.062705516815186
2026-05-08T13:42:50.475873+00:00,T2_PH,5,5,3,45,graph-only,0.4375,0.9375,0.5,0.8817460317460317,0.9230769230769231,0.9375,0.8571428571428571,1.0,10,14,126,151,0.40848368406295776,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k5__seed3_split.csv,True,11.817249059677124
2026-05-08T13:43:39.850722+00:00,T2_PH,5,5,4,46,graph-only,0.25,0.6458333333333334,0.39583333333333337,0.5433862433862434,0.5,0.5625,0.5,0.5,10,14,200,200,0.5590583086013794,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k5__seed4_split.csv,True,15.125006914138794
2026-05-08T13:40:38.748064+00:00,T2_PH,10,8,0,42,graph-only,0.9375,1.0,0.0625,1.0,0.8571428571428571,0.875,0.75,1.0,16,14,170,195,0.3810509741306305,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k10__seed0_split.csv,True,13.232524633407593
2026-05-08T13:41:19.518091+00:00,T2_PH,10,8,1,43,graph-only,0.7395833333333334,0.8854166666666667,0.14583333333333337,0.7345238095238095,0.8333333333333334,0.8541666666666667,0.8333333333333334,0.8333333333333334,16,14,145,170,0.5324499011039734,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k10__seed1_split.csv,True,11.574363470077515
2026-05-08T13:42:13.486124+00:00,T2_PH,10,8,2,44,graph-only,0.625,1.0,0.375,1.0,1.0,1.0,1.0,1.0,16,14,200,200,0.29318615794181824,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k10__seed2_split.csv,True,14.563522577285767
