transfer_id,seed,K,iteration,risks,advantage_abs_max,advantage_all_zero,editor_grad_norm,param_l2_step,risk_variance
T1_Nordic,42,2,22,0.674628;0.674730,5.131959915161133e-05,False,0.0011989650083705783,1.0808899402618408,2.633701257082066e-09
T1_Nordic,42,2,23,0.670266;0.672731,0.001232147216796875,False,0.028750399127602577,1.1103428602218628,1.5181133221631171e-06
T1_Nordic,42,2,24,0.673548;0.672531,0.0005081892013549805,False,0.01185315940529108,1.0339980125427246,2.582259810424148e-07
T1_Nordic,42,2,25,0.672607;0.676133,0.0017632246017456055,False,0.04116961359977722,1.205209732055664,3.1088559353520395e-06
T1_Nordic,42,4,1,0.672331;0.672130;0.672250;0.674405,0.0016257762908935547,False,0.015754645690321922,7.0738983154296875,8.861333071763511e-07
T1_Nordic,42,4,2,0.669779;0.674392;0.671032;0.674930,0.0027542710304260254,False,0.036334555596113205,5.291882514953613,4.760137017001398e-06
T1_Nordic,42,4,3,0.672628;0.673014;0.673513;0.673900,0.0006361603736877441,False,0.0080272750928998,4.129318714141846,2.3325243603267154e-07
T1_Nordic,42,4,4,0.673612;0.671152;0.673337;0.672006,0.0013744831085205078,False,0.01666196808218956,3.371213912963867,9.986904387915274e-07
T1_Nordic,42,4,5,0.670898;0.670200;0.676413;0.672451,0.0039223432540893555,False,0.04019811376929283,3.3011202812194824,5.7922052292269655e-06
T1_Nordic,42,4,6,0.672773;0.673606;0.669163;0.673289,0.00304490327835083,False,0.029821911826729774,2.9273908138275146,3.1788390515430365e-06
T1_Nordic,42,4,7,0.674589;0.673358;0.671448;0.674120,0.001930534839630127,False,0.019878851249814034,2.659372329711914,1.435268700333836e-06
T1_Nordic,42,4,8,0.671011;0.675576;0.671538;0.672706,0.0028682947158813477,False,0.029375912621617317,2.578840732574463,3.1187489639705746e-06
T1_Nordic,42,4,9,0.672313;0.673794;0.675328;0.670858,0.002254962921142578,False,0.027736330404877663,2.4361329078674316,2.772281277430011e-06
T1_Nordic,42,4,10,0.673114;0.674351;0.670861;0.672999,0.001970648765563965,False,0.02082161419093609,2.2597455978393555,1.5754179685245617e-06
T1_Nordic,42,4,11,0.672267;0.673454;0.674393;0.674854,0.0014752745628356934,False,0.016374366357922554,2.138158082962036,9.801590294955531e-07
T1_Nordic,42,4,12,0.670008;0.672727;0.673486;0.672312,0.002125263214111328,False,0.02155342511832714,2.0625948905944824,1.6826550108817173e-06
T1_Nordic,42,4,13,0.672514;0.676103;0.672157;0.675640,0.0019995570182800293,False,0.02944108471274376,2.1386077404022217,3.1682006920163985e-06
T1_Nordic,42,4,14,0.670516;0.674867;0.672247;0.675931,0.0028742551803588867,False,0.035363949835300446,2.2624199390411377,4.551011443254538e-06
T1_Nordic,42,4,15,0.670599;0.676554;0.671749;0.674516,0.0031996965408325195,False,0.03871525079011917,2.3270609378814697,5.4398010433942545e-06
T1_Nordic,42,4,16,0.673316;0.673352;0.672447;0.670431,0.0019554495811462402,False,0.019524816423654556,2.142012119293213,1.406006163051643e-06
T1_Nordic,42,4,17,0.673716;0.673011;0.672665;0.671271,0.0013943910598754883,False,0.01471315324306488,1.9765772819519043,7.915016340120928e-07
T1_Nordic,42,4,18,0.673298;0.674132;0.674195;0.670768,0.0023306608200073242,False,0.02293907105922699,1.9060089588165283,1.9359558791620657e-06
T1_Nordic,42,4,19,0.672866;0.675217;0.674733;0.670265,0.003005504608154297,False,0.03205078840255737,1.9327871799468994,3.781649866141379e-06
T1_Nordic,42,4,20,0.671945;0.674847;0.678800;0.670639,0.004742324352264404,False,0.051698487251996994,2.135935068130493,9.81624089035904e-06
