seed,source_region,target_region,source_size,target_size,target_label_class_count,target_metric_name,target_quasi_metric,target_roc_auc,target_illegal_recall_at_youden,target_mean_pred_illegal,target_one_minus_mean_pred_illegal,threshold,logme_source,logme_cross,h_divergence,wasserstein,encoder_checkpoint
43,Belgium,Denmark,69,77,1,illegal_recall_at_youden,1.0,,1.0,0.8901537241482429,0.1098462758517571,0.5609609868572704,-6.323537411897079,-3.525109216988057,1.91816091954023,0.10523217615957307,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,France,69,72,2,roc_auc,0.9713541666666666,0.9713541666666666,0.8958333333333334,0.6211086985075579,0.3788913014924421,0.5609609868572704,-6.323537411897079,-3.7156444331477516,0.3300492610837438,0.08031127793270912,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Germany,69,40,1,one_minus_mean_pred_illegal,0.6542028896275982,,,0.34579711037240185,0.6542028896275982,0.5609609868572704,-6.323537411897079,-4.696196796957369,1.0389610389610389,0.09949792142978063,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Italy,69,34,1,illegal_recall_at_youden,0.9705882352941176,,0.9705882352941176,0.9444007893368013,0.05559921066319873,0.5609609868572704,-6.323537411897079,-4.828825258854058,1.3828571428571421,0.18416803301470003,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Netherlands,69,5,1,illegal_recall_at_youden,0.8,,0.8,0.7489438704631534,0.25105612953684664,0.5609609868572704,-6.323537411897079,-6.678723885670167,1.7295238095238097,0.20037325853763985,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Ontario,69,58,1,one_minus_mean_pred_illegal,0.49795653024042974,,,0.5020434697595703,0.49795653024042974,0.5609609868572704,-6.323537411897079,-4.29344222043277,0.992,0.09064934520829099,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Philippines,69,33,2,roc_auc,0.7218045112781956,0.7218045112781956,1.0,0.8388043520994071,0.16119564790059293,0.5609609868572704,-6.323537411897079,-5.120705890534156,1.6876190476190471,0.09568416775396113,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Spain,69,39,1,one_minus_mean_pred_illegal,0.7091232694393181,,,0.29087673056068186,0.7091232694393181,0.5609609868572704,-6.323537411897079,-4.604692948249665,1.665800865800866,0.13559540689894564,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,Sweden,69,27,1,one_minus_mean_pred_illegal,0.41004871083961203,,,0.589951289160388,0.41004871083961203,0.5609609868572704,-6.323537411897079,-5.325745612758932,1.4189473684210525,0.15431804526038875,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Belgium,United Kingdom,69,39,1,one_minus_mean_pred_illegal,0.1198614788210316,,,0.8801385211789684,0.1198614788210316,0.5609609868572704,-6.323537411897079,-5.297684113058363,1.3367965367965366,0.2629484597918589,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Belgium,72,69,2,roc_auc,0.9655172413793103,0.9655172413793103,0.875,0.6390985719098323,0.3609014280901677,0.6694991573102872,-6.787493792647442,-3.715644433147748,0.8078817733990151,0.08031127793270912,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Denmark,72,77,1,illegal_recall_at_youden,0.974025974025974,,0.974025974025974,0.9117052841028632,0.08829471589713678,0.6694991573102872,-6.787493792647442,-3.527727064587479,1.9733333333333336,0.10923592518669252,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Germany,72,40,1,one_minus_mean_pred_illegal,0.6924906375394306,,,0.3075093624605693,0.6924906375394306,0.6694991573102872,-6.787493792647442,-4.576140752897944,0.8173913043478263,0.11041001524937288,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Italy,72,34,1,illegal_recall_at_youden,0.9411764705882353,,0.9411764705882353,0.9436592359777185,0.0563407640222815,0.6694991573102872,-6.787493792647442,-4.806633258867376,1.8095238095238093,0.22770804978993217,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Netherlands,72,5,1,illegal_recall_at_youden,0.8,,0.8,0.8337772463244747,0.1662227536755253,0.6694991573102872,-6.787493792647442,-6.5298141891313985,1.7400000000000007,0.15895088705494834,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Ontario,72,58,1,one_minus_mean_pred_illegal,0.47171056031060676,,,0.5282894396893932,0.47171056031060676,0.6694991573102872,-6.787493792647442,-4.218888375219564,0.5846153846153848,0.07328659426021694,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Philippines,72,33,2,roc_auc,0.3909774436090226,0.3909774436090226,1.0,0.8920591373135107,0.10794086268648928,0.6694991573102872,-6.787493792647442,-5.146333140627328,1.5428571428571431,0.10884506420264359,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Spain,72,39,1,one_minus_mean_pred_illegal,0.6306435717963956,,,0.3693564282036044,0.6306435717963956,0.6694991573102872,-6.787493792647442,-4.635436391018505,1.8197628458498025,0.12000562658577764,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,Sweden,72,27,1,one_minus_mean_pred_illegal,0.35539677519804236,,,0.6446032248019576,0.35539677519804236,0.6694991573102872,-6.787493792647442,-5.231404554086632,1.2315789473684213,0.12107103360355485,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,France,United Kingdom,72,39,1,one_minus_mean_pred_illegal,0.1327541011443094,,,0.8672458988556906,0.1327541011443094,0.6694991573102872,-6.787493792647442,-5.084830766449986,1.2806324110671938,0.28724345598550155,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Philippines,Belgium,33,69,2,roc_auc,0.8741379310344828,0.8741379310344828,0.925,0.411051291503341,0.5889487084966589,0.20547813002875503,-8.527388262700853,-5.120705890534152,1.6476190476190475,0.09568416775396113,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Philippines,Denmark,33,77,1,illegal_recall_at_youden,0.987012987012987,,0.987012987012987,0.5799535014063483,0.42004649859365173,0.20547813002875503,-8.527388262700853,-4.846317317664031,1.2000000000000002,0.1064827103260913,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
43,Philippines,France,33,72,2,roc_auc,0.4487847222222222,0.4487847222222222,0.75,0.3515427578063614,0.6484572421936385,0.20547813002875503,-8.527388262700853,-5.146333140627324,1.5428571428571423,0.10884506420264359,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
